codigo,clase,stock_inicial,stock_promedio,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock_actual,probabilidad_agotamiento,nivel_riesgo
621504,Baja,22,23.14,2.0,1.0,3.0,1.0,0.0417,7,0.3844,BAJO
779915,Baja,27,27.4,2.0,2.0,2.0,1.0,0.0278,3,0.3682,BAJO
621487,Media,15,18.93,2.25,1.0,4.0,1.5,0.0833,4,0.324,BAJO
7719,Alta,40,40.71,1.54,1.0,4.0,6.29,0.2778,26,0.303,BAJO
779890,Baja,28,29.01,1.5,1.0,2.0,1.0,0.0417,5,0.2906,BAJO
791267,Alta,74,100.96,1.91,1.0,5.0,1.43,0.5417,61,0.2257,BAJO
777824,Alta,53,65.81,1.9,1.0,6.0,7.88,0.3889,61,0.1616,BAJO
779484,Alta,18,26.88,1.47,1.0,4.0,1.4,0.2778,25,0.1596,BAJO
788284,Media,17,19.29,1.0,1.0,1.0,0.0,0.0556,5,0.1551,BAJO
791584,Media,5,9.04,1.4,1.0,3.0,0.0,0.0694,9,0.1478,BAJO
166677,Baja,5,5.0,1.0,1.0,1.0,1.0,0.0417,2,0.1449,BAJO
621580,Baja,18,18.32,1.0,1.0,1.0,1.0,0.0417,2,0.1449,BAJO
611493,Media,13,16.19,1.14,1.0,2.0,1.0,0.125,10,0.1398,BAJO
188684,Baja,22,22.77,4.0,4.0,4.0,0.0,0.0139,6,0.1154,BAJO
548505,Baja,0,-0.71,0.0,0.0,0.0,1.0,0.0139,1,0.1114,BAJO
7901,Alta,83,91.07,1.9,1.0,6.0,11.2,0.4306,63,0.1073,BAJO
611681,Media,16,15.86,3.0,2.0,4.0,2.0,0.0556,10,0.0895,BAJO
622906,Media,8,12.08,1.4,1.0,3.0,0.0,0.0694,12,0.061,BAJO
621271,Alta,22,26.22,1.17,1.0,2.0,2.4,0.2361,18,0.0595,BAJO
788251,Media,13,14.49,2.0,1.0,3.0,1.0,0.0694,7,0.0532,BAJO
611923,Media,22,24.08,1.25,1.0,2.0,1.0,0.0694,4,0.0528,BAJO
779606,Alta,66,71.29,1.6,1.0,5.0,12.71,0.375,69,0.0527,BAJO
784625,Media,207,117.93,47.25,1.0,186.0,187.5,0.0833,151,0.0507,BAJO
7933,Media,13,15.6,1.33,1.0,2.0,1.5,0.1111,7,0.0301,BAJO
788058,Baja,17,19.27,1.5,1.0,2.0,0.0,0.0278,5,0.0276,BAJO
778088,Alta,52,58.48,1.36,1.0,3.0,8.8,0.2639,48,0.0257,BAJO
616320,Alta,23,27.64,1.08,1.0,2.0,1.0,0.2222,17,0.0247,BAJO
7718,Alta,53,55.93,1.33,1.0,3.0,6.5,0.25,56,0.0243,BAJO
786327,Media,22,20.03,1.5,1.0,2.0,2.33,0.0694,9,0.0208,BAJO
781283,Media,17,18.36,1.5,1.0,3.0,1.5,0.0833,13,0.0184,BAJO
622945,Media,18,20.86,1.14,1.0,2.0,1.0,0.1389,19,0.0183,BAJO
168956,Baja,5,5.63,1.5,1.0,2.0,4.0,0.0417,6,0.0173,BAJO
778062,Media,27,28.38,2.0,1.0,3.0,5.5,0.0694,20,0.0134,BAJO
168303,Media,27,31.19,1.33,1.0,2.0,8.33,0.1667,19,0.0108,BAJO
165170,Media,18,19.59,2.0,1.0,3.0,1.0,0.0556,16,0.0103,BAJO
168855,Baja,14,14.55,1.5,1.0,2.0,1.0,0.0417,7,0.0102,BAJO
165057,Media,12,13.75,1.0,1.0,1.0,1.5,0.0972,7,0.0099,BAJO
791174,Media,17,18.56,1.17,1.0,2.0,1.0,0.125,15,0.0094,BAJO
165259,Media,14,19.64,1.38,1.0,2.0,1.67,0.1528,16,0.0092,BAJO
168161,Media,35,40.49,1.43,1.0,3.0,1.0,0.1111,37,0.0075,BAJO
621425,Media,20,22.08,1.14,1.0,2.0,1.33,0.1389,16,0.0072,BAJO
7179,Media,48,46.12,1.75,1.0,4.0,9.75,0.1111,27,0.0067,BAJO
7400,Baja,25,24.68,1.5,1.0,2.0,2.0,0.0417,18,0.0058,BAJO
168971,Baja,23,22.78,2.0,2.0,2.0,5.0,0.0417,15,0.0056,BAJO
616252,Alta,95,100.68,1.2,1.0,2.0,1.0,0.2778,44,0.0054,BAJO
791223,Media,11,11.7,1.25,1.0,2.0,1.0,0.0694,6,0.0048,BAJO
611578,Media,26,29.63,1.57,1.0,5.0,1.0,0.1389,24,0.0044,BAJO
168804,Alta,53,57.49,1.33,1.0,3.0,15.0,0.2222,42,0.0042,BAJO
