codigo,clase,stock_inicial,stock_promedio,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock_actual,probabilidad_agotamiento,nivel_riesgo
780053.0,Alta,58,62.44,1.24,1.0,3.0,6.14,0.3333,13,0.6962,MEDIO
7890.0,Alta,41,44.07,2.0,1.0,7.0,6.18,0.3611,44,0.6064,MEDIO
623245.0,Media,22,23.44,2.0,1.0,4.0,4.33,0.1806,14,0.6049,MEDIO
14624.0,Baja,5,4.99,1.0,1.0,1.0,1.0,0.0278,1,0.5831,MEDIO
166274.0,Baja,7,7.23,1.0,1.0,1.0,1.0,0.0278,1,0.5831,MEDIO
791241.0,Alta,45,51.44,1.53,1.0,3.0,10.17,0.3194,19,0.5824,MEDIO
616337.0,Alta,62,73.11,2.12,1.0,9.0,1.38,0.3472,68,0.5769,MEDIO
621372.0,Media,16,18.11,1.4,1.0,2.0,1.0,0.0972,5,0.573,MEDIO
167698.0,Alta,16,23.14,1.2,1.0,3.0,11.0,0.2361,13,0.5437,MEDIO
611304.0,Alta,151,164.42,1.58,1.0,4.0,10.11,0.4861,48,0.5234,MEDIO
778041.0,Alta,50,60.84,1.53,1.0,6.0,2.86,0.3611,34,0.5223,MEDIO
611256.0,Alta,85,112.63,2.78,1.0,9.0,5.9,0.5139,72,0.4989,MEDIO
784985.0,Alta,24,24.49,1.17,1.0,3.0,2.0,0.2361,14,0.4905,MEDIO
165156.0,Media,46,47.78,1.25,1.0,2.0,1.0,0.0694,4,0.4804,MEDIO
165158.0,Alta,18,23.38,1.4,1.0,3.0,1.86,0.3056,18,0.4708,MEDIO
6690.0,Alta,80,110.15,2.62,1.0,11.0,12.67,0.4444,77,0.4671,MEDIO
165396.0,Media,7,8.27,1.5,1.0,3.0,1.5,0.0833,5,0.4483,MEDIO
791841.0,Media,16,18.19,1.17,1.0,2.0,1.0,0.125,9,0.4188,MEDIO
791761.0,Alta,41,48.7,1.88,1.0,6.0,9.57,0.3333,40,0.4063,MEDIO
