codigo,clase,stock_inicial,stock_promedio,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock_actual,probabilidad_agotamiento,nivel_riesgo
616188.0,Alta,131,292.53,8.27,1.0,77.0,12.92,0.7361,232,0.9998,ALTO
779456.0,Alta,178,254.81,5.64,1.0,29.0,25.5,0.6944,35,0.9993,ALTO
351748.0,Alta,2109,2060.04,7.48,1.0,217.0,256.25,0.6667,830,0.9985,ALTO
188471.0,Alta,249,297.47,4.23,1.0,28.0,39.0,0.5278,20,0.9976,ALTO
205032.0,Alta,306,156.15,4.03,2.0,24.0,163.0,0.5833,23,0.9971,ALTO
785164.0,Alta,0,4.15,1.78,1.0,4.0,1.0,0.25,1,0.9971,ALTO
623497.0,Alta,16,20.93,3.0,1.0,15.0,2.62,0.25,5,0.9969,ALTO
786176.0,Alta,41,32.25,3.64,1.0,29.0,15.0,0.2083,9,0.9956,ALTO
784599.0,Alta,36,29.1,3.4,1.0,23.0,8.5,0.2222,9,0.9955,ALTO
623454.0,Baja,13,14.63,1.0,1.0,1.0,0.0,0.0417,1,0.994,ALTO
791093.0,Alta,126,169.88,2.79,1.0,19.0,1.6,0.5417,44,0.9901,ALTO
788239.0,Alta,10,15.21,2.4,1.0,7.0,3.67,0.375,15,0.9868,ALTO
204672.0,Alta,0,17.89,2.33,1.0,4.0,8.0,0.3056,2,0.9868,ALTO
787708.0,Alta,33,57.52,2.7,1.0,10.0,9.5,0.5139,22,0.9818,ALTO
616320.0,Alta,23,27.64,1.08,1.0,2.0,1.0,0.2222,7,0.9807,ALTO
623498.0,Media,9,12.78,1.0,1.0,1.0,0.0,0.0833,1,0.9793,ALTO
621557.0,Alta,24,27.63,1.6,1.0,5.0,5.38,0.3194,12,0.9776,ALTO
616117.0,Alta,47,64.36,2.35,1.0,12.0,1.75,0.3889,13,0.9771,ALTO
788124.0,Alta,7,18.52,1.59,1.0,5.0,3.43,0.3333,8,0.9752,ALTO
623179.0,Alta,7,9.64,1.27,1.0,3.0,2.8,0.2222,1,0.9722,ALTO
167581.0,Alta,26,37.81,1.5,1.0,5.0,4.25,0.3611,5,0.9671,ALTO
791508.0,Alta,16,25.04,1.39,1.0,4.0,2.0,0.4167,13,0.9655,ALTO
784995.0,Media,21,20.71,1.0,1.0,1.0,2.0,0.0972,1,0.9517,ALTO
6333.0,Media,10,12.49,1.5,1.0,4.0,5.5,0.1389,5,0.9502,ALTO
611555.0,Media,15,17.95,2.0,1.0,3.0,1.25,0.125,3,0.948,ALTO
787696.0,Alta,85,101.23,2.96,1.0,9.0,12.08,0.5,44,0.9443,ALTO
8026.0,Media,24,25.12,1.6,1.0,4.0,5.5,0.0972,1,0.9387,ALTO
791280.0,Alta,169,194.75,2.04,1.0,6.0,1.11,0.5,33,0.9357,ALTO
168337.0,Media,41,41.32,2.0,1.0,3.0,12.33,0.0833,5,0.9341,ALTO
784722.0,Media,27,23.64,4.5,1.0,8.0,6.0,0.0694,3,0.9328,ALTO
787807.0,Alta,33,47.7,1.8,1.0,6.0,8.12,0.4583,24,0.9328,ALTO
621602.0,Media,12,13.88,1.8,1.0,4.0,2.0,0.0972,2,0.9212,ALTO
168807.0,Media,35,37.62,1.8,1.0,5.0,12.75,0.1944,6,0.9193,ALTO
165302.0,Media,10,14.33,1.22,1.0,2.0,5.33,0.1667,4,0.9162,ALTO
791159.0,Media,22,28.49,1.33,1.0,3.0,1.0,0.1667,7,0.9025,ALTO
621164.0,Media,5,6.89,1.75,1.0,3.0,1.0,0.0833,2,0.8875,ALTO
786244.0,Media,21,21.89,1.2,1.0,2.0,1.0,0.0972,2,0.861,ALTO
188740.0,Media,24,23.71,3.5,1.0,6.0,6.33,0.0694,3,0.8326,ALTO
786519.0,Baja,24,24.6,1.0,1.0,1.0,1.0,0.0417,3,0.8275,ALTO
6322.0,Alta,9,10.55,1.73,1.0,3.0,2.0,0.2639,11,0.8076,ALTO
548507.0,Baja,1,1.14,2.0,2.0,2.0,2.0,0.0278,2,0.8041,ALTO
611608.0,Alta,34,57.37,1.79,1.0,6.0,4.0,0.5139,40,0.7964,ALTO
165409.0,Media,19,19.73,1.33,1.0,2.0,1.5,0.0694,2,0.7885,ALTO
611352.0,Alta,74,94.95,2.35,1.0,7.0,9.5,0.4722,47,0.782,ALTO
6417.0,Media,14,15.0,1.83,1.0,5.0,3.5,0.1389,6,0.7744,ALTO
621364.0,Alta,40,49.85,1.75,1.0,6.0,6.7,0.4722,47,0.7476,ALTO
780053.0,Alta,58,62.44,1.24,1.0,3.0,6.14,0.3333,13,0.6962,MEDIO
7890.0,Alta,41,44.07,2.0,1.0,7.0,6.18,0.3611,44,0.6064,MEDIO
623245.0,Media,22,23.44,2.0,1.0,4.0,4.33,0.1806,14,0.6049,MEDIO
14624.0,Baja,5,4.99,1.0,1.0,1.0,1.0,0.0278,1,0.5831,MEDIO
