codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
621046.0,0,14,2.73,1,16,3,0.5694,6,0.9991259425525447
352169.0,0,210,8.02,1,65,86,0.8194,114,0.9990000000000001
6605.0,0,228,5.17,1,23,28,0.6806,23,0.9969748657475495
616092.0,0,105,4.48,1,26,17,0.6667,108,0.9951697779652965
786150.0,0,67,7.5,1,57,22,0.2222,41,0.9946789357674257
622725.0,0,31,2.9,1,17,12,0.5278,17,0.9943818312245298
787790.0,0,243,6.42,1,28,38,0.7361,233,0.9918691015095837
205877.0,0,0,5.8,1,16,11,0.2917,17,0.99103710045766
616104.0,0,92,2.97,1,17,1,0.5556,98,0.9867983483404349
791338.0,2,17,1.0,1,1,2,0.1389,2,0.9853263246925497
7871.0,0,92,2.67,1,14,14,0.6111,7,0.9848613208116666
787984.0,0,75,1.16,1,2,10,0.375,3,0.973838418536385
788287.0,2,5,2.0,1,4,2,0.1806,1,0.9677666553590722
779673.0,0,6,1.9,1,5,1,0.2361,4,0.9627590386064716
7823.0,2,6,1.88,1,7,2,0.1528,5,0.9558691793215491
6412.0,0,19,2.2,1,5,5,0.2361,5,0.9556421487948968
788492.0,2,19,1.0,1,1,1,0.0972,2,0.9549699838827885
611517.0,2,35,1.5,1,4,6,0.1806,5,0.9522385807226723
784778.0,2,54,5.83,1,30,21,0.125,23,0.9507250106105924
779992.0,0,65,1.46,1,4,15,0.25,8,0.949540815313337
784543.0,0,63,6.38,1,40,14,0.2083,41,0.9478183948655682
165004.0,0,34,1.47,1,5,4,0.3056,2,0.9427874578810667
787833.0,0,12,1.5,1,4,3,0.3056,11,0.9380159415110443
791414.0,2,21,1.0,1,1,1,0.0694,1,0.9326610663104619
781393.0,0,7,2.6,1,6,3,0.2083,12,0.9323247886650446
611608.0,0,34,1.79,1,6,4,0.5139,15,0.9323101856391562
166259.0,2,6,1.2,1,2,2,0.1389,4,0.9310437454823847
622797.0,0,68,2.03,1,9,14,0.5556,33,0.9257704806894911
791353.0,2,33,1.09,1,2,10,0.1944,9,0.9257456521136521
791167.0,2,5,1.25,1,2,1,0.1667,2,0.9216644960441218
6980.0,2,23,1.33,1,2,4,0.1389,2,0.9135081304366236
168238.0,0,74,1.82,1,8,5,0.2083,1,0.9050332823298287
786085.0,2,32,6.25,1,20,9,0.125,1,0.9046707838217232
786721.0,1,17,3.0,3,3,1,0.0278,9,0.9002536384676165
781216.0,2,17,2.25,1,5,4,0.1111,1,0.8965600758262288
7207.0,0,27,1.69,1,5,6,0.2778,10,0.8915446184222979
611702.0,0,14,1.45,1,4,3,0.2778,13,0.883853644716921
7891.0,0,86,1.96,1,6,11,0.5278,23,0.8753406800994196
611282.0,2,13,2.0,1,4,2,0.1528,9,0.8571807037293345
623046.0,0,7,1.73,1,4,3,0.2778,12,0.8186419195061823
779975.0,0,53,2.08,1,6,9,0.2917,31,0.7765576201339929
622987.0,0,26,1.08,1,2,1,0.25,9,0.7717088997427581
788288.0,2,3,1.12,1,2,1,0.1389,4,0.7465383953434156
779464.0,2,20,1.33,1,2,1,0.0972,1,0.7386801348532955
791560.0,2,22,1.25,1,2,3,0.0833,1,0.736721918384181
778201.0,2,30,1.0,1,1,8,0.0972,3,0.7343609186272544
786169.0,2,28,2.17,1,8,4,0.1528,15,0.7310334248164192
7841.0,2,3,1.5,1,4,1,0.0972,7,0.7270938016520568
