date,location,total_stock,net_movement
2026-02-11,Laboratorio,15352.0,15352.0
2026-02-12,Laboratorio,15405.0,15405.0
2026-02-13,Laboratorio,15581.0,15581.0
2026-02-14,Laboratorio,15182.0,15182.0
2026-02-15,Laboratorio,15182.0,15182.0
2026-02-16,Laboratorio,14362.0,14362.0
2026-02-17,Laboratorio,14659.0,14659.0
2026-02-18,Laboratorio,14701.0,14701.0
2026-02-19,Laboratorio,14952.0,14952.0
2026-02-20,Laboratorio,14823.0,14823.0
2026-02-21,Laboratorio,14888.0,14888.0
2026-02-22,Laboratorio,14888.0,14888.0
2026-02-23,Laboratorio,14865.0,14865.0
2026-02-24,Laboratorio,14420.0,14420.0
2026-02-25,Laboratorio,15437.0,15437.0
2026-02-26,Laboratorio,16549.0,16549.0
2026-02-27,Laboratorio,15996.0,15996.0
2026-02-28,Laboratorio,15612.0,15612.0
