codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
165446.0,1,14,2.0,2,2,2,0.0278,4,0.39219922571208754
779787.0,0,43,1.75,1,8,7,0.3194,42,0.3808586820665642
622797.0,0,68,2.03,1,9,14,0.5556,80,0.34388569746676706
7780.0,0,66,1.58,1,6,6,0.4722,76,0.3107995008020474
791167.0,2,5,1.25,1,2,1,0.1667,9,0.29880221827817294
611580.0,2,15,1.25,1,2,2,0.1528,8,0.29276718041728
788187.0,2,18,1.5,1,2,2,0.0833,8,0.2772495567495204
8074.0,2,28,1.2,1,2,1,0.0833,11,0.25015740425983113
786067.0,0,47,5.29,1,29,8,0.2083,30,0.23150321669681984
165360.0,2,13,1.0,1,1,1,0.0972,6,0.22362313657936816
611543.0,0,131,3.83,1,9,5,0.5972,119,0.19458965269417094
167717.0,2,40,1.0,1,1,18,0.0833,5,0.16742522847732397
166255.0,2,6,1.0,1,1,1,0.0833,5,0.1362530485924648
779958.0,0,54,1.81,1,4,10,0.3889,47,0.13474223732506507
168238.0,0,74,1.82,1,8,5,0.2083,55,0.13423246733185432
206596.0,1,0,2.0,2,2,0,0.0139,2,0.12709658062906473
779546.0,0,162,3.27,1,13,15,0.6806,182,0.12493080629190997
2023831.0,1,18,2.0,2,2,0,0.0139,4,0.11779456117805333
786502.0,2,27,1.0,1,1,1,0.0556,4,0.1098299286159986
165540.0,1,10,2.0,2,2,1,0.0278,4,0.10654690870492671
621626.0,2,15,2.25,1,5,1,0.1111,16,0.09953274451050259
621719.0,2,43,2.0,1,5,8,0.1528,35,0.07663765512077564
6214.0,0,35,1.21,1,3,7,0.2778,27,0.06280859391518855
165250.0,2,13,1.17,1,2,11,0.0972,7,0.057237570858495325
623476.0,2,18,1.0,1,1,1,0.125,6,0.048128626043147424
6895.0,2,28,1.17,1,2,3,0.125,12,0.044842542333156696
168786.0,0,40,1.64,1,3,7,0.2639,24,0.043016355888268264
166296.0,2,12,1.5,1,2,4,0.0556,6,0.039429611441044995
622941.0,0,29,1.4,1,2,4,0.2361,21,0.039407359447237104
616605.0,0,274,1.89,1,4,2,0.3611,278,0.03518346958103027
7770.0,0,175,2.24,1,7,23,0.5694,122,0.033597350819980304
779633.0,2,10,1.33,1,2,2,0.0694,10,0.02752234961731278
168302.0,2,36,1.6,1,3,14,0.1111,12,0.02197582358279732
791265.0,0,316,2.81,1,15,1,0.5417,227,0.020668053591660483
6630.0,0,135,1.86,1,4,17,0.25,34,0.018396311309215627
621629.0,2,11,1.0,1,1,1,0.0833,7,0.014741745386500176
791217.0,2,13,1.25,1,2,1,0.0694,12,0.014600837216285871
616202.0,2,23,1.5,1,3,1,0.1528,22,0.013130163356813522
6980.0,2,23,1.33,1,2,4,0.1389,19,0.012049805586687914
623006.0,2,13,1.4,1,2,2,0.0972,14,0.01100522892672863
168127.0,0,251,2.07,1,8,41,0.2778,70,0.010669904750898076
788087.0,2,17,1.33,1,2,1,0.0694,11,0.010159816921177735
209415.0,1,180,10.0,10,10,0,0.0139,90,0.01
611371.0,2,52,1.22,1,2,1,0.1528,41,0.008033732844573972
611488.0,1,12,1.5,1,2,1,0.0417,10,0.006759501261617951
779464.0,2,20,1.33,1,2,1,0.0972,15,0.005679556153324838
787984.0,0,75,1.16,1,2,10,0.375,51,0.004787596437255358
188404.0,0,445,4.16,1,14,51,0.4583,190,0.004517892755829929
167789.0,2,22,2.0,1,3,3,0.0833,18,0.004154240025734911
791353.0,2,33,1.09,1,2,10,0.1944,31,0.004140432262833501
611372.0,2,37,1.4,1,2,1,0.0833,37,0.003760108620406391
165483.0,2,8,1.0,1,1,1,0.0972,8,0.002741856894277046
791338.0,2,17,1.0,1,1,2,0.1389,15,0.0023441568759865893
784758.0,2,23,2.0,1,3,1,0.0694,14,0.002039045943723275
788026.0,2,15,2.0,1,3,2,0.0694,13,0.0018871277802057817
169516.0,2,13,1.0,1,1,1,0.1111,9,0.0018216157627732076
168148.0,0,177,1.15,1,3,15,0.2639,163,0.001780986239038349
779992.0,0,65,1.46,1,4,15,0.25,43,0.0017546446183307337
777902.0,0,70,1.31,1,2,9,0.25,38,0.001735203714215348
206352.0,0,750,9.27,1,20,400,0.3333,329,0.0017252114924465722
778009.0,2,37,1.0,1,1,1,0.1389,26,0.0015310710208474875
788492.0,2,19,1.0,1,1,1,0.0972,19,0.0014795266719536523
779818.0,1,18,1.5,1,2,0,0.0278,9,0.0010089780595458312
168797.0,2,28,1.0,1,1,14,0.125,8,0.0009558682807476696
167653.0,2,34,1.33,1,2,12,0.1111,22,0.0008004144596323368
188429.0,2,102,3.5,1,8,16,0.1111,88,0.0007894736842105263
168941.0,2,31,1.33,1,2,11,0.0694,26,0.0007412608202548166
168471.0,2,31,1.25,1,2,10,0.0833,25,0.0007340324664566602
786804.0,1,11,2.0,2,2,1,0.0278,11,0.0007303496752441788
165781.0,1,23,2.0,2,2,2,0.0278,7,0.0007123651878504942
206494.0,1,35,2.0,2,2,0,0.0139,21,0.0006627724171660771
778315.0,2,38,1.0,1,1,1,0.125,31,0.0006412946642726935
786721.0,1,17,3.0,3,3,1,0.0278,12,0.0005795054579801117
167656.0,2,56,1.2,1,2,33,0.0833,16,0.0004552892831280292
167609.0,1,22,2.0,2,2,3,0.0417,23,0.0004506437768240343
165387.0,1,19,2.0,2,2,2,0.0278,17,0.00033055630629215036
168793.0,2,82,1.43,1,3,22,0.1528,38,0.000252943930033599
168199.0,2,187,1.2,1,2,74,0.0972,120,0.000217896592644286
616614.0,2,19,1.0,1,1,1,0.0833,15,0.0001208865010073875
168107.0,2,205,1.2,1,2,48,0.1806,111,0.00011407069686498848
786326.0,1,26,4.0,4,4,5,0.0417,23,0.00010416666666666666
788154.0,2,28,1.4,1,2,0,0.0694,28,9.081795397584871e-05
7497.0,1,22,1.0,1,1,1,0.0278,9,8.361204013377926e-05
623508.0,1,29,1.0,1,1,1,0.0417,8,8.361204013377926e-05
616646.0,1,23,1.0,1,1,1,0.0417,7,8.361204013377926e-05
168383.0,1,14,1.0,1,1,1,0.0278,7,8.361204013377926e-05
6146.0,2,22,1.0,1,1,2,0.125,21,5.029697965373436e-05
781313.0,1,14,1.5,1,2,0,0.0278,15,2.5592890123667115e-05
788283.0,1,23,1.5,1,2,0,0.0278,15,2.5592890123667115e-05
623400.0,1,17,1.5,1,2,0,0.0278,13,2.5592890123667115e-05
206176.0,2,153,1.88,1,2,108,0.125,69,2.44256239420085e-05
351774.0,1,4039,160.0,20,300,4234,0.0417,1901,0.0
169546.0,1,16,1.0,1,1,0,0.0139,10,0.0
7532.0,1,25,1.0,1,1,0,0.0139,20,0.0
781646.0,1,17,1.0,1,1,0,0.0139,14,0.0
168334.0,1,30,1.0,1,1,21,0.0417,14,0.0
167766.0,1,28,1.5,1,2,15,0.0417,25,0.0
616682.0,1,44,1.0,1,1,1,0.0417,23,0.0
623428.0,1,38,1.0,1,1,0,0.0278,27,0.0
167753.0,1,30,1.0,1,1,17,0.0278,23,0.0
786271.0,1,26,1.0,1,1,0,0.0278,17,0.0
167878.0,1,15,0.0,0,0,1,0.0139,15,0.0
616585.0,1,50,1.0,1,1,1,0.0417,35,0.0
169640.0,1,17,1.0,1,1,0,0.0139,10,0.0
206293.0,1,4,0.0,0,0,2,0.0278,4,0.0
785384.0,3,0,0.0,0,0,0,0.0,1,0.0
785398.0,3,0,0.0,0,0,0,0.0,1,0.0
941069.0,3,0,0.0,0,0,0,0.0,1,0.0
168457.0,3,20,0.0,0,0,0,0.0,20,0.0
937247.0,3,0,0.0,0,0,0,0.0,1,0.0
902474.0,3,0,0.0,0,0,0,0.0,1,0.0
930696.0,3,0,0.0,0,0,0,0.0,1,0.0
13307.0,3,0,0.0,0,0,0,0.0,1,0.0
212751.0,1,280,0.0,0,0,1,0.0139,280,0.0
7534.0,1,27,1.0,1,1,1,0.0417,19,0.0
168327.0,1,26,1.0,1,1,8,0.0417,14,0.0
169354.0,1,43,0.0,0,0,30,0.0139,43,0.0
168485.0,1,16,1.0,1,1,0,0.0139,6,0.0
786532.0,1,35,1.0,1,1,1,0.0417,21,0.0
165466.0,1,16,1.0,1,1,0,0.0278,4,0.0
2023838.0,3,0,0.0,0,0,0,0.0,1,0.0
623089.0,1,6,1.0,1,1,0,0.0139,2,0.0
188493.0,1,63,1.0,1,1,0,0.0139,56,0.0
778534.0,1,29,1.0,1,1,4,0.0278,22,0.0
7254.0,1,21,1.0,1,1,1,0.0278,17,0.0
621585.0,1,24,2.0,2,2,2,0.0417,25,0.0
778865.0,3,0,0.0,0,0,0,0.0,1,0.0
168951.0,1,28,1.0,1,1,7,0.0417,20,0.0
621500.0,1,15,1.0,1,1,0,0.0417,2,0.0
778658.0,1,50,1.0,1,1,25,0.0278,34,0.0
611634.0,1,15,1.0,1,1,0,0.0139,8,0.0
188673.0,1,23,1.0,1,1,0,0.0139,18,0.0
168974.0,1,17,1.0,1,1,8,0.0417,16,0.0
167855.0,1,15,1.0,1,1,0,0.0139,10,0.0
778350.0,3,37,0.0,0,0,0,0.0,37,0.0
