codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
6933.0,0,38,1.47,1,6,7,0.3889,35,0.6994494297969909
791793.0,0,25,2.22,1,5,4,0.2222,16,0.6972620398776453
166642.0,0,7,1.09,1,2,2,0.2083,8,0.685912078077262
779940.0,0,71,2.35,1,9,11,0.4583,51,0.6827084697163525
784778.0,2,54,5.83,1,30,21,0.125,41,0.6702466251979223
7261.0,1,22,1.0,1,1,0,0.0417,1,0.6506901750667414
6132.0,0,45,1.67,1,4,14,0.3472,22,0.6354233797676009
791560.0,2,22,1.25,1,2,3,0.0833,6,0.6228814447213362
7787.0,0,11,2.0,1,5,3,0.2083,15,0.6012387588596327
165780.0,1,22,1.0,1,1,1,0.0417,2,0.5819803856824071
611949.0,2,10,1.71,1,5,4,0.1111,8,0.5770041491764172
7917.0,2,17,1.2,1,2,2,0.125,7,0.5657809386422772
616294.0,2,13,2.33,1,3,1,0.0833,4,0.5600788174028859
622863.0,0,16,1.46,1,3,6,0.2361,16,0.558991653261221
7207.0,0,27,1.69,1,5,6,0.2778,21,0.5393863370931614
616430.0,0,31,1.5,1,5,2,0.2917,30,0.5328923526691376
616284.0,0,27,1.89,1,4,6,0.3889,26,0.4817558862816472
781879.0,1,12,4.0,4,4,2,0.0417,4,0.47680021603286526
786512.0,1,19,1.67,1,2,0,0.0417,2,0.45006867890465385
6290.0,0,31,1.33,1,3,6,0.2361,15,0.44054337766571594
168938.0,0,15,2.11,1,5,6,0.2083,15,0.4282310203316117
611503.0,0,21,1.3,1,3,2,0.2222,15,0.41119635057776854
