codigo,fecha,stock_actual,agotado_30d,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,probabilidad_agotamiento
941069.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
168545.0,2026-12-01,13,0,1,15,1.0,1,1,0,0.0139,0.0
791215.0,2026-12-01,17,0,1,21,1.0,1,1,0,0.0278,0.0
616771.0,2026-12-01,29,0,1,40,1.0,1,1,1,0.0417,0.0
621046.0,2026-12-01,0,1,0,14,2.73,1,16,3,0.5694,0.6724613188356277
791167.0,2026-12-01,10,0,2,5,1.25,1,2,1,0.1667,0.2699376794792204
621159.0,2026-12-01,2,1,2,15,2.0,1,4,2,0.125,0.8919169073054231
790224.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
2023831.0,2026-12-01,6,0,1,18,2.0,2,2,0,0.0139,0.0008441195674251445
621218.0,2026-12-01,0,0,2,11,2.4,1,5,4,0.1111,0.1261472845720955
168520.0,2026-12-01,17,0,2,21,1.0,1,1,3,0.0694,0.0
790021.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
621219.0,2026-12-01,0,0,0,34,2.0,1,6,5,0.4444,0.06476653990398902
165540.0,2026-12-01,4,0,1,10,2.0,2,2,1,0.0278,0.10654690870492672
621308.0,2026-12-01,4,1,2,15,1.22,1,2,3,0.1944,0.9213352443124245
621373.0,2026-12-01,21,0,2,19,1.71,1,5,4,0.1667,0.21205884704551128
941046.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
789410.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
6214.0,2026-12-01,0,0,0,35,1.21,1,3,7,0.2778,0.0028722518940792817
168485.0,2026-12-01,6,0,1,16,1.0,1,1,0,0.0139,0.0
7841.0,2026-12-01,1,1,2,3,1.5,1,4,1,0.0972,0.9626297644269382
789361.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
621500.0,2026-12-01,3,0,1,15,1.0,1,1,0,0.0417,0.0
7891.0,2026-12-01,75,0,0,86,1.96,1,6,11,0.5278,0.2986793427011406
621502.0,2026-12-01,11,0,1,15,1.0,1,1,0,0.0139,0.0
788559.0,2026-12-01,13,0,1,20,1.0,1,1,0,0.0278,0.0
621562.0,2026-12-01,0,0,1,11,1.0,1,1,0,0.0417,0.0
621585.0,2026-12-01,0,0,1,24,2.0,2,2,2,0.0417,0.22907148033775446
168471.0,2026-12-01,30,0,2,31,1.25,1,2,10,0.0833,0.0007340324664566602
936466.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
165722.0,2026-12-01,7,0,1,14,1.0,1,1,0,0.0417,0.0
165483.0,2026-12-01,0,0,2,8,1.0,1,1,1,0.0972,0.004177447699942855
616682.0,2026-12-01,26,0,1,44,1.0,1,1,1,0.0417,0.0
788492.0,2026-12-01,19,0,2,19,1.0,1,1,1,0.0972,0.0014795266719536523
616646.0,2026-12-01,8,0,1,23,1.0,1,1,1,0.0417,8.361204013377926e-05
616284.0,2026-12-01,0,0,0,27,1.89,1,4,6,0.3889,0.03076038419848656
791397.0,2026-12-01,14,0,1,24,1.0,1,1,0,0.0278,0.0
616294.0,2026-12-01,10,0,2,13,2.33,1,3,1,0.0833,0.08002919855030372
168797.0,2026-12-01,14,0,2,28,1.0,1,1,14,0.125,0.0008861817850833678
165466.0,2026-12-01,4,0,1,16,1.0,1,1,0,0.0278,0.0
616312.0,2026-12-01,26,0,2,45,1.0,1,1,1,0.0556,0.0
791388.0,2026-12-01,15,0,1,23,1.0,1,1,0,0.0278,0.0
616362.0,2026-12-01,26,0,1,27,1.0,1,1,0,0.0139,0.0
791353.0,2026-12-01,0,0,2,33,1.09,1,2,10,0.1944,0.01841879461148596
