codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
611357.0,0,18,1.8,1,3,1,0.2222,18,0.3961876279073415
165337.0,2,7,1.18,1,2,5,0.1944,10,0.3657937725468605
6214.0,0,35,1.21,1,3,7,0.2778,18,0.34704091610616083
165540.0,1,10,2.0,2,2,1,0.0278,6,0.32805844881732393
779633.0,2,10,1.33,1,2,2,0.0694,3,0.32469808992004473
616398.0,0,37,1.9,1,5,1,0.3611,38,0.311834884951741
168295.0,2,15,1.0,1,1,1,0.1389,8,0.29339701477904323
7261.0,1,22,1.0,1,1,0,0.0417,1,0.28470890004511645
168974.0,1,17,1.0,1,1,8,0.0417,3,0.27585935118018573
188580.0,0,35,1.71,1,5,8,0.2778,39,0.27047466653927416
784991.0,2,12,1.4,1,3,3,0.0833,6,0.2628478485140588
611521.0,2,10,1.4,1,3,1,0.0833,6,0.23385115560108896
166742.0,1,17,1.0,1,1,0,0.0417,3,0.23368181563644355
779958.0,0,54,1.81,1,4,10,0.3889,49,0.17803719918993527
611543.0,0,131,3.83,1,9,5,0.5972,120,0.17727948830103363
6656.0,0,207,3.0,1,13,5,0.6944,148,0.14692178783503296
622863.0,0,16,1.46,1,3,6,0.2361,23,0.12934164228379175
781879.0,1,12,4.0,4,4,2,0.0417,12,0.11628565680997813
791779.0,0,37,1.55,1,3,6,0.25,19,0.09216257607755775
621308.0,2,15,1.22,1,2,3,0.1944,13,0.09050025291245267
6290.0,0,31,1.33,1,3,6,0.2361,31,0.0828443236477606
6271.0,0,67,1.33,1,3,8,0.4167,28,0.08173959871721989
788087.0,2,17,1.33,1,2,1,0.0694,7,0.07811725959797354
165466.0,1,16,1.0,1,1,0,0.0278,3,0.07124890077523309
621719.0,2,43,2.0,1,5,8,0.1528,34,0.06209133417795041
6058.0,0,67,1.89,1,4,1,0.5139,76,0.0586189855100569
616476.0,0,43,1.69,1,4,1,0.2778,55,0.046800188327077
611503.0,0,21,1.3,1,3,2,0.2222,23,0.04522603520358727
622941.0,0,29,1.4,1,2,4,0.2361,28,0.03625392778866518
168786.0,0,40,1.64,1,3,7,0.2639,31,0.035229401832373754
611532.0,0,25,1.38,1,2,4,0.2639,29,0.03299765666448683
623508.0,1,29,1.0,1,1,1,0.0417,4,0.032336766676402375
616605.0,0,274,1.89,1,4,2,0.3611,246,0.026087607958638355
167766.0,1,28,1.5,1,2,15,0.0417,1,0.025338090582415318
168127.0,0,251,2.07,1,8,41,0.2778,75,0.02391938243554684
791265.0,0,316,2.81,1,15,1,0.5417,173,0.023058209072994874
786326.0,1,26,4.0,4,4,5,0.0417,7,0.022399983486339235
7770.0,0,175,2.24,1,7,23,0.5694,174,0.02101820971647873
168829.0,0,54,1.77,1,4,15,0.25,54,0.017065805181175606
791217.0,2,13,1.25,1,2,1,0.0694,8,0.015393954706025448
7917.0,2,17,1.2,1,2,2,0.125,15,0.012361095313717015
206176.0,2,153,1.88,1,2,108,0.125,92,0.01
616202.0,2,23,1.5,1,3,1,0.1528,23,0.00718600397676605
167770.0,1,43,1.5,1,2,31,0.0417,24,0.005892857142857143
611371.0,2,52,1.22,1,2,1,0.1528,34,0.005506458486436446
168302.0,2,36,1.6,1,3,14,0.1111,11,0.005367305976930998
165446.0,1,14,2.0,2,2,2,0.0278,14,0.004829623913320613
165387.0,1,19,2.0,2,2,2,0.0278,19,0.0042880886872428
165781.0,1,23,2.0,2,2,2,0.0278,19,0.0042880886872428
623006.0,2,13,1.4,1,2,2,0.0972,13,0.004189819626723394
6630.0,0,135,1.86,1,4,17,0.25,57,0.00414084673331289
784758.0,2,23,2.0,1,3,1,0.0694,24,0.0033705612703612657
166255.0,2,6,1.0,1,1,1,0.0833,5,0.0033686503838301035
166296.0,2,12,1.5,1,2,4,0.0556,11,0.003207439750045131
623355.0,1,12,1.33,1,2,0,0.0417,7,0.0028781590511868633
616294.0,2,13,2.33,1,3,1,0.0833,15,0.002799659221724527
188404.0,0,445,4.16,1,14,51,0.4583,290,0.0025236371441665706
168148.0,0,177,1.15,1,3,15,0.2639,162,0.0024339710485088385
623476.0,2,18,1.0,1,1,1,0.125,11,0.002332112446454813
6895.0,2,28,1.17,1,2,3,0.125,22,0.0019670556497294977
165360.0,2,13,1.0,1,1,1,0.0972,7,0.0017182985328712454
167609.0,1,22,2.0,2,2,3,0.0417,15,0.0016892287181899915
6146.0,2,22,1.0,1,1,2,0.125,10,0.001677285081324532
204799.0,1,1110,2.0,2,2,2,0.0417,1074,0.0016369849658720709
777902.0,0,70,1.31,1,2,9,0.25,41,0.0015144781889249808
165250.0,2,13,1.17,1,2,11,0.0972,17,0.001432036400511233
168471.0,2,31,1.25,1,2,10,0.0833,24,0.0011673483707567644
611372.0,2,37,1.4,1,2,1,0.0833,23,0.0010469568235323564
168941.0,2,31,1.33,1,2,11,0.0694,30,0.001020524396164216
