codigo,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock,probabilidad_agotamiento
167789.0,2,22,2.0,1,3,3,0.0833,2,0.685061847721845
787734.0,2,14,1.83,1,5,2,0.1389,6,0.6847005784236786
2023614.0,1,11,2.0,2,2,0,0.0417,1,0.6574716200977201
788187.0,2,18,1.5,1,2,2,0.0833,3,0.6078154947779703
791280.0,0,169,2.04,1,6,1,0.5,41,0.6034848657012175
206596.0,1,0,2.0,2,2,0,0.0139,2,0.5878295110053812
2023831.0,1,18,2.0,2,2,0,0.0139,4,0.5775539765255927
788113.0,2,6,1.0,1,1,0,0.0556,1,0.5425156767669346
6132.0,0,45,1.67,1,4,14,0.3472,31,0.5031265833698688
791793.0,0,25,2.22,1,5,4,0.2222,29,0.47615726983683104
788026.0,2,15,2.0,1,3,2,0.0694,4,0.4504508536453952
6340.0,2,8,1.0,1,1,1,0.0556,1,0.4457517837162011
786502.0,2,27,1.0,1,1,1,0.0556,1,0.4457517837162011
781313.0,1,14,1.5,1,2,0,0.0278,2,0.43706335806598334
784711.0,2,12,1.8,1,4,2,0.1111,13,0.4269603154542667
779782.0,0,115,2.1,1,9,21,0.3889,70,0.4267577904220125
779546.0,0,162,3.27,1,13,15,0.6806,150,0.41762694794201866
611531.0,0,16,1.31,1,3,4,0.2222,16,0.4041316246787913
