codigo,fecha,stock_actual,agotado_30d,clase,stock_inicial,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,probabilidad_agotamiento
941069.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
168545.0,2026-12-01,13,0,1,15,1.0,1,1,0,0.0139,0.0
791215.0,2026-12-01,17,0,1,21,1.0,1,1,0,0.0278,0.0
616771.0,2026-12-01,29,0,1,40,1.0,1,1,1,0.0417,0.0
621046.0,2026-12-01,0,1,0,14,2.73,1,16,3,0.5694,0.6091387438113367
791167.0,2026-12-01,10,0,2,5,1.25,1,2,1,0.1667,0.5208021032071557
621159.0,2026-12-01,2,1,2,15,2.0,1,4,2,0.125,0.8929669086633778
790224.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
2023831.0,2026-12-01,6,0,1,18,2.0,2,2,0,0.0139,0.009266145941311808
621218.0,2026-12-01,0,0,2,11,2.4,1,5,4,0.1111,0.07684552569673976
168520.0,2026-12-01,17,0,2,21,1.0,1,1,3,0.0694,6.821282401091405e-06
790021.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
621219.0,2026-12-01,0,0,0,34,2.0,1,6,5,0.4444,0.13464203664309637
165540.0,2026-12-01,4,0,1,10,2.0,2,2,1,0.0278,0.5000512687702802
621308.0,2026-12-01,4,1,2,15,1.22,1,2,3,0.1944,0.8932914619622399
621373.0,2026-12-01,21,0,2,19,1.71,1,5,4,0.1667,0.28502599776439036
941046.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
789410.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
6214.0,2026-12-01,0,0,0,35,1.21,1,3,7,0.2778,0.008029506222019487
168485.0,2026-12-01,6,0,1,16,1.0,1,1,0,0.0139,0.0
7841.0,2026-12-01,1,1,2,3,1.5,1,4,1,0.0972,0.9665976493840442
789361.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
621500.0,2026-12-01,3,0,1,15,1.0,1,1,0,0.0417,0.23368181563644352
7891.0,2026-12-01,75,0,0,86,1.96,1,6,11,0.5278,0.1832596982778564
621502.0,2026-12-01,11,0,1,15,1.0,1,1,0,0.0139,0.0
788559.0,2026-12-01,13,0,1,20,1.0,1,1,0,0.0278,0.0
621562.0,2026-12-01,0,0,1,11,1.0,1,1,0,0.0417,0.0
621585.0,2026-12-01,0,0,1,24,2.0,2,2,2,0.0417,0.1325225948242066
168471.0,2026-12-01,30,0,2,31,1.25,1,2,10,0.0833,0.0011673483707567644
936466.0,2026-12-01,1,0,3,0,0.0,0,0,0,0.0,0.0
165722.0,2026-12-01,7,0,1,14,1.0,1,1,0,0.0417,1.3440860215053765e-05
165483.0,2026-12-01,0,0,2,8,1.0,1,1,1,0.0972,0.0023754152823920265
616682.0,2026-12-01,26,0,1,44,1.0,1,1,1,0.0417,0.0
788492.0,2026-12-01,19,0,2,19,1.0,1,1,1,0.0972,0.00019682284293279876
616646.0,2026-12-01,8,0,1,23,1.0,1,1,1,0.0417,0.0
616284.0,2026-12-01,0,0,0,27,1.89,1,4,6,0.3889,0.06582261190699412
791397.0,2026-12-01,14,0,1,24,1.0,1,1,0,0.0278,0.0
616294.0,2026-12-01,10,0,2,13,2.33,1,3,1,0.0833,0.045835384704688786
168797.0,2026-12-01,14,0,2,28,1.0,1,1,14,0.125,4.5662100456621e-05
165466.0,2026-12-01,4,0,1,16,1.0,1,1,0,0.0278,0.00013636363636363637
616312.0,2026-12-01,26,0,2,45,1.0,1,1,1,0.0556,1.0570824524312897e-05
791388.0,2026-12-01,15,0,1,23,1.0,1,1,0,0.0278,0.0
616362.0,2026-12-01,26,0,1,27,1.0,1,1,0,0.0139,0.0
791353.0,2026-12-01,0,0,2,33,1.09,1,2,10,0.1944,0.008510051058797999
